[2026-03-18 14:09:43] info: 	z2m: Logging to console, file (filename: log.log)
[2026-03-18 14:09:43] info: 	z2m: Starting Zigbee2MQTT version 2.9.1 (commit #85875aee27caa005946bb5a446080461a0d2fc33
)
[2026-03-18 14:09:43] info: 	z2m: Starting zigbee-herdsman (9.0.9)
[2026-03-18 14:09:43] info: 	zh:ember: Using default stack config.
[2026-03-18 14:09:43] info: 	zh:ember: ======== Ember Adapter Starting ========
[2026-03-18 14:09:43] info: 	zh:ember:ezsp: ======== EZSP starting ========
[2026-03-18 14:09:43] info: 	zh:ember:uart:ash: ======== ASH Adapter reset ========
[2026-03-18 14:09:43] info: 	zh:ember:uart:ash: Serial port opened
[2026-03-18 14:09:43] info: 	zh:ember:uart:ash: ======== ASH starting ========
[2026-03-18 14:09:45] info: 	zh:ember:uart:ash: ======== ASH connected ========
[2026-03-18 14:09:45] info: 	zh:ember:uart:ash: ======== ASH started ========
[2026-03-18 14:09:45] info: 	zh:ember:ezsp: ======== EZSP started ========
[2026-03-18 14:09:45] info: 	zh:ember: Adapter version info: {"ezsp":18,"revision":"8.2.2 [GA]","build":436,"major":8,"minor":2,"patch":2,"special":0,"type":170}
[2026-03-18 14:09:45] info: 	zh:ember: [STACK STATUS] Network up.
[2026-03-18 14:09:45] info: 	zh:ember: [INIT TC] Adapter network matches config.
[2026-03-18 14:09:45] info: 	zh:ember: [CONCENTRATOR] Started source route discovery. 1248ms until next broadcast.
[2026-03-18 14:09:45] info: 	z2m: zigbee-herdsman started (resumed)
[2026-03-18 14:09:45] info: 	z2m: Coordinator firmware version: '{"meta":{"build":436,"ezsp":18,"major":8,"minor":2,"patch":2,"revision":"8.2.2 [GA]","special":0,"type":170},"type":"EmberZNet"}'
[2026-03-18 14:09:45] info: 	z2m: 0xa4c1387f4dcc1553 (0xa4c1387f4dcc1553): TS0001_switch_module - Tuya 1 gang switch module (Router)
[2026-03-18 14:09:45] info: 	z2m: Currently 1 devices are joined.
[2026-03-18 14:09:45] info: 	z2m: Connecting to MQTT server at mqtt://mqtt:1883
[2026-03-18 14:09:45] info: 	z2m: Connected to MQTT server
[2026-03-18 14:09:45] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/state', payload '{"state":"online"}'
[2026-03-18 14:09:45] info: 	z2m: Started frontend on port 8080
[2026-03-18 14:09:45] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/0xa4c1387f4dcc1553', payload '{"countdown":0,"indicator_mode":"on","linkquality":120,"power_outage_memory":"off","state":"OFF","switch_type":"state"}'
[2026-03-18 14:09:45] info: 	z2m: Zigbee2MQTT started!
[2026-03-18 14:10:08] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/0xa4c1387f4dcc1553', payload '{"countdown":0,"indicator_mode":"on","linkquality":124,"power_outage_memory":"off","state":"ON","switch_type":"state"}'
[2026-03-18 14:10:08] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/0xa4c1387f4dcc1553', payload '{"countdown":0,"indicator_mode":"on","linkquality":124,"power_outage_memory":"off","state":"ON","switch_type":"state"}'
